"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SERPINA3",2.74879954657358e-179,2.01626123634906,0.816,0.159,7.23813896603756e-175,"Ductal1","SERPINA3"
"ANXA2",5.63975579482823e-178,2.29231512008897,0.882,0.229,1.48506049589417e-173,"Ductal1","ANXA2"
"TPM1",2.20736256694297e-175,1.96757603892097,0.747,0.151,5.81242711127422e-171,"Ductal1","TPM1"
"SPINT1",5.87601979069297e-174,1.58758583238676,0.704,0.13,1.54727353128527e-169,"Ductal1","SPINT1"
"SERPINA3.1",1.53208795798505e-169,1.88718086440097,0.803,0.158,4.03429401096625e-165,"Ductal1","SERPINA3.1"
"IFITM3",4.69929284938153e-168,1.48288597504749,0.76,0.134,1.23741779309915e-163,"Ductal1","IFITM3"
"KRT8",3.26211794134426e-160,2.24819019461754,0.908,0.28,8.58980896314771e-156,"Ductal1","KRT8"
"ELF3",1.82258406411016e-155,1.95427693112161,0.826,0.211,4.79922835761487e-151,"Ductal1","ELF3"
"SAT1",3.67526503402044e-146,1.66221115165065,0.862,0.223,9.67770788758262e-142,"Ductal1","SAT1"
"GDF15",4.53876991528833e-144,2.10804357558465,0.822,0.201,1.19514889409372e-139,"Ductal1","GDF15"
"S100A11",2.48949717255185e-140,1.82386785570233,0.832,0.233,6.55534395476353e-136,"Ductal1","S100A11"
"GSTP1",1.37083772242948e-138,1.48000227708596,0.734,0.169,3.60968989070131e-134,"Ductal1","GSTP1"
"S100A6",1.0368986701263e-123,2.0982745133186,0.882,0.315,2.73036157817659e-119,"Ductal1","S100A6"
"ATP1A1",7.78885700284185e-121,2.03761321574525,0.868,0.343,2.05096182598832e-116,"Ductal1","ATP1A1"
"IER3",3.2234719743367e-116,1.65012739548953,0.914,0.318,8.4880464028234e-112,"Ductal1","IER3"
"CTSD",4.27603893746935e-116,1.87340150908664,0.898,0.384,1.12596657301443e-111,"Ductal1","CTSD"
"MYL12B",5.25229696808149e-116,1.27427702862741,0.72,0.186,1.38303483763522e-111,"Ductal1","MYL12B"
"PTPRF",2.09774690386934e-114,1.28789804516166,0.72,0.194,5.52378714726874e-110,"Ductal1","PTPRF"
"ATP1B1",3.89412960436213e-112,1.48290722406971,0.836,0.273,1.02540220742064e-107,"Ductal1","ATP1B1"
"TMSB10",1.27534229859082e-103,1.81892704454805,0.836,0.315,3.35823134064934e-99,"Ductal1","TMSB10"
"CLDN7",1.89245977965882e-101,1.20364566363634,0.76,0.233,4.98322509179761e-97,"Ductal1","CLDN7"
"ACTN4",3.35491497940004e-95,1.26259059041213,0.822,0.3,8.83416212375618e-91,"Ductal1","ACTN4"
"APLP2",5.83144895556729e-95,1.14977518191804,0.74,0.237,1.53553713897998e-90,"Ductal1","APLP2"
"TMSB4X1",9.78827595909186e-95,1.46827955565701,0.987,0.612,2.57744882554807e-90,"Ductal1","TMSB4X"
"HLA-B",3.84639380614886e-94,1.57872626821101,0.914,0.421,1.01283241703512e-89,"Ductal1","HLA-B"
"ITGB1",4.79537074536074e-94,1.42429400793674,0.809,0.291,1.26271702466839e-89,"Ductal1","ITGB1"
"HSPB1",1.31290520495077e-92,1.55870838259136,0.944,0.454,3.45714198567637e-88,"Ductal1","HSPB1"
"KLF6",6.25608241014079e-90,1.29313624743,0.74,0.236,1.64735162023827e-85,"Ductal1","KLF6"
"TAGLN2",2.1896019167285e-86,1.33030161905589,0.875,0.384,5.76565976712949e-82,"Ductal1","TAGLN2"
"IGFBP7",5.8939112458565e-81,1.17247188148693,0.773,0.271,1.55198470925893e-76,"Ductal1","IGFBP7"
"HLA-C",2.58955087447563e-78,1.28773844802418,0.839,0.367,6.81880536266922e-74,"Ductal1","HLA-C"
"CD151",1.37062459662186e-76,1.06325007127268,0.73,0.258,3.60912868782468e-72,"Ductal1","CD151"
"DUSP1",1.13108416145357e-72,1.28742440093955,0.714,0.258,2.97837081393955e-68,"Ductal1","DUSP1"
"ALDOB",0,3.23529837719437,0.869,0.036,0,"Acinar2","ALDOB"
"ANPEP",0,2.93101502985032,0.838,0.03,0,"Acinar2","ANPEP"
"RNASE1",0,2.7013030371413,0.808,0.032,0,"Acinar2","RNASE1"
"UBD",0,2.62170859759321,0.908,0.046,0,"Acinar2","UBD"
"RARRES2",0,2.53696260653389,0.8,0.018,0,"Acinar2","RARRES2"
"PDZK1IP1",0,2.36945383581106,0.869,0.04,0,"Acinar2","PDZK1IP1"
"BCAT1",0,1.73391687542957,0.723,0.01,0,"Acinar2","BCAT1"
"DUOXA2",1.37860629811856e-285,3.26938351046342,0.838,0.051,3.63014610420579e-281,"Acinar2","DUOXA2"
"C3",2.28606440679862e-272,3.05580595502045,0.9,0.063,6.01966479598212e-268,"Acinar2","C3"
