"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EPHX11",1.34216846224737e-34,0.264601015054194,0.516,0.197,3.53419799478977e-30,"9","EPHX1"
"USP221",1.40722440984575e-34,0.263716887029309,0.562,0.234,3.70550331600584e-30,"9","USP22"
"CRK",1.48737904606551e-34,0.33421237536113,0.303,0.086,3.91656650409971e-30,"9","CRK"
"HNRNPA01",1.55272003916935e-34,0.375803108836642,0.444,0.162,4.08862240714073e-30,"9","HNRNPA0"
"ACTG12",1.58217795174374e-34,0.672150040810336,0.931,0.615,4.1661909825316e-30,"9","ACTG1"
"MLEC",1.82104281281742e-34,0.394814551252874,0.372,0.122,4.79516993471082e-30,"9","MLEC"
"COX5B",2.15370205806128e-34,0.435424555899216,0.586,0.253,5.67112825928698e-30,"9","COX5B"
"ACTR3",2.17777869520302e-34,0.378948279276329,0.299,0.085,5.73452686020858e-30,"9","ACTR3"
"TCP1",3.02030032828264e-34,0.291433123359671,0.326,0.099,7.95305482443385e-30,"9","TCP1"
"EIF3D",3.45013170095822e-34,0.317116090874802,0.418,0.144,9.08488679496318e-30,"9","EIF3D"
"EIF4EBP2",3.53291099761354e-34,0.382118719875975,0.276,0.075,9.30286123891597e-30,"9","EIF4EBP2"
"MAP1LC3B",3.70266397265302e-34,0.459147753000733,0.368,0.123,9.74985477278993e-30,"9","MAP1LC3B"
"ATP5B",3.83330108535818e-34,0.426217158523032,0.549,0.24,1.00938484179652e-29,"9","ATP5B"
"PCBP11",4.80064027015108e-34,0.339981103204571,0.684,0.318,1.26410459593618e-29,"9","PCBP1"
"POLR2B",5.00354179589709e-34,0.437724373510302,0.263,0.07,1.31753262569562e-29,"9","POLR2B"
"VWA11",5.29375435999026e-34,0.544106221188975,0.503,0.204,1.39395139807263e-29,"9","VWA1"
"PKP3",5.43990781341354e-34,0.274761447943787,0.26,0.068,1.43243652542805e-29,"9","PKP3"
"HNRNPK1",5.85012904545576e-34,0.439560110724758,0.599,0.259,1.54045598024941e-29,"9","HNRNPK"
"ZFAS12",1.02645745742606e-33,0.513181348551188,0.543,0.231,2.7028677768943e-29,"9","ZFAS1"
"CTSS",1.12050685372039e-33,0.49624586213863,0.273,0.075,2.95051864721652e-29,"9","CTSS"
"ZNF3951",1.31270508112931e-33,0.387795730187177,0.457,0.172,3.4566150196297e-29,"9","ZNF395"
"PPP1R11",1.33657804676735e-33,0.439171862480656,0.26,0.069,3.51947731274778e-29,"9","PPP1R11"
"CYB5A",1.66564611978571e-33,0.392709680147052,0.434,0.161,4.38597936261973e-29,"9","CYB5A"
"TM9SF3",2.2900471628512e-33,0.329934950216738,0.401,0.139,6.03015218921978e-29,"9","TM9SF3"
"FGD5-AS11",2.84368246380499e-33,0.490514905894174,0.391,0.14,7.4879846636913e-29,"9","FGD5-AS1"
"TMOD3",2.97221579113757e-33,0.464613490354623,0.336,0.105,7.82643862122346e-29,"9","TMOD3"
"GNB21",4.23532422684905e-33,0.40220025017911,0.572,0.248,1.11524557541389e-28,"9","GNB2"
"RAB131",4.42836793843002e-33,0.271184383081569,0.507,0.202,1.16607784554739e-28,"9","RAB13"
"MFSD10",5.57226680263911e-33,0.413527071762633,0.26,0.07,1.46728929447093e-28,"9","MFSD10"
"VEZF1",7.6940753515775e-33,0.44510194970286,0.26,0.07,2.02600392157739e-28,"9","VEZF1"
"H3F3A1",8.25850770424701e-33,0.585358086388289,0.862,0.483,2.17463024868232e-28,"9","H3F3A"
"COX6A11",1.0934322860028e-32,0.295052881916997,0.661,0.309,2.87922589550257e-28,"9","COX6A1"
"PDHA1",1.52257219564271e-32,0.333404853815457,0.25,0.066,4.00923710556638e-28,"9","PDHA1"
"CANX2",1.69602342262494e-32,0.264427327639876,0.493,0.197,4.46596887645599e-28,"9","CANX"
"HN1L",1.73145120558623e-32,0.357545807200911,0.316,0.097,4.55925731454966e-28,"9","HN1L"
"NFE2L2",1.77767659119934e-32,0.59715317678622,0.273,0.077,4.6809779999461e-28,"9","NFE2L2"
"IPO7",1.88239956805229e-32,0.470029237570181,0.26,0.071,4.95673454259528e-28,"9","IPO7"
"SEMA4B",1.8960159968308e-32,0.409117654781009,0.303,0.091,4.99258932285486e-28,"9","SEMA4B"
"PRRC2C1",2.1156624725294e-32,0.473753399657609,0.424,0.157,5.57096242266442e-28,"9","PRRC2C"
"NFKB1",2.22303894187413e-32,0.466799036460536,0.25,0.066,5.85370614174296e-28,"9","NFKB1"
"KDM5B",2.23922276217566e-32,0.422621191736011,0.316,0.097,5.89632137736094e-28,"9","KDM5B"
"MCAM",2.46805209007997e-32,0.275512281276767,0.263,0.072,6.49887476359857e-28,"9","MCAM"
"UBE2Z",2.81986748689559e-32,0.561082671625599,0.286,0.085,7.42527506649345e-28,"9","UBE2Z"
"TRIM28",2.90843465322176e-32,0.311316002458096,0.424,0.156,7.65849012886354e-28,"9","TRIM28"
"HIP1R1",2.99564954792492e-32,0.445990603100758,0.322,0.102,7.8881443895959e-28,"9","HIP1R"
"GTF2I2",4.41883685744088e-32,0.606797481264796,0.671,0.326,1.16356812130133e-27,"9","GTF2I"
"BCKDK",4.42949132353834e-32,0.314565151519653,0.276,0.08,1.16637365531411e-27,"9","BCKDK"
"IMPA2",4.81676121343978e-32,0.363098276891889,0.359,0.12,1.26834956272296e-27,"9","IMPA2"
"TMEM134",8.0492951147339e-32,0.551755739598911,0.299,0.092,2.11954038961173e-27,"9","TMEM134"
"NELFB",8.39843213917354e-32,0.271288602608782,0.293,0.087,2.21147515088718e-27,"9","NELFB"
"RBM15B",8.54236546562665e-32,0.330081301111291,0.289,0.085,2.24937567440881e-27,"9","RBM15B"
"VASP",9.63995017160903e-32,0.314809690847677,0.27,0.076,2.53839167918809e-27,"9","VASP"
"GIPC1",1.50929445082868e-31,0.371926511822168,0.27,0.077,3.97427414792208e-27,"9","GIPC1"
"CSNK1E3",2.58887523989917e-31,0.355166989497567,0.546,0.233,6.8170262817025e-27,"9","CSNK1E"
"IRF6",2.59644875283694e-31,0.317046610793989,0.296,0.089,6.83696885597023e-27,"9","IRF6"
"PPM1G",2.63399172020111e-31,0.425944944879437,0.342,0.114,6.93582699763355e-27,"9","PPM1G"
"ADRM1",3.34698935370677e-31,0.424909672581742,0.293,0.088,8.81329236618066e-27,"9","ADRM1"
"RP11-796E2.4",3.63082252435499e-31,0.400500057182856,0.266,0.077,9.56068187113155e-27,"9","RP11-796E2.4"
"CTDSP1",4.28294308554676e-31,0.279934968857433,0.253,0.07,1.12778457328617e-26,"9","CTDSP1"
"COMT",4.43687750104728e-31,0.340289759480813,0.372,0.131,1.16831858357577e-26,"9","COMT"
"CSRNP1",4.6484310163977e-31,0.495317152057052,0.339,0.112,1.22402485523784e-26,"9","CSRNP1"
"RNF114",4.9710152927755e-31,0.424037594314647,0.28,0.082,1.30896774689364e-26,"9","RNF114"
"TNFRSF1A",6.74128268523309e-31,0.289372651451084,0.372,0.129,1.77511455667558e-26,"9","TNFRSF1A"
"AP1M2",1.08678246533089e-30,0.315685817034515,0.336,0.111,2.86171558770931e-26,"9","AP1M2"
"HNRNPU",1.1809568818755e-30,0.354099422274024,0.428,0.163,3.10969566135456e-26,"9","HNRNPU"
"TAOK3",1.1926275878111e-30,0.446093405126285,0.25,0.069,3.14042696422418e-26,"9","TAOK3"
"UQCRH2",1.19902750498137e-30,0.352500938049741,0.576,0.26,3.15727922611693e-26,"9","UQCRH"
"ARL8A",1.41626559992514e-30,0.321870566914005,0.306,0.096,3.72931057772289e-26,"9","ARL8A"
"HNRNPUL2",1.51329766256277e-30,0.362757887616276,0.306,0.096,3.98481540506028e-26,"9","HNRNPUL2"
"MT-ATP81",1.57924326341559e-30,0.568500467583366,0.704,0.362,4.15846336122594e-26,"9","MT-ATP8"
"HNRNPAB",1.70925664600983e-30,0.265786795289014,0.365,0.126,4.50081460027309e-26,"9","HNRNPAB"
"IGF2R1",2.09646267749389e-30,0.538944665304358,0.441,0.176,5.52040552237691e-26,"9","IGF2R"
"RDX",2.4799449715444e-30,0.42700723164744,0.309,0.1,6.53019109907072e-26,"9","RDX"
"LAMTOR2",2.81736407339568e-30,0.27440447328895,0.398,0.146,7.41868307806549e-26,"9","LAMTOR2"
"TMBIM61",3.405179289818e-30,0.357814738271199,0.77,0.392,8.96651810594877e-26,"9","TMBIM6"
"ACTR1B",3.50325034423839e-30,0.334081956227903,0.299,0.092,9.22475880644853e-26,"9","ACTR1B"
"EPS8L21",3.81652121729361e-30,0.27326759010863,0.257,0.072,1.00496636693775e-25,"9","EPS8L2"
"PPP2R1A1",4.3861511407622e-30,0.27832471229542,0.678,0.329,1.1549613183855e-25,"9","PPP2R1A"
"TRAM11",4.88319766308672e-30,0.623045764683303,0.375,0.134,1.285843608644e-25,"9","TRAM1"
"ID21",6.11781022125499e-30,0.533328949808899,0.424,0.163,1.61094178746087e-25,"9","ID2"
"DGCR2",6.78522165773532e-30,0.519943388631543,0.303,0.097,1.78668456691487e-25,"9","DGCR2"
